#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  mu  mu) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  mu  mu) ,  Allowed/excluded  (1/0) 

0.46153846153846156,383999.4851769572,4.37547937507418e-05,8.361884573332929e-10,3.8615641903458975e-08,1
0.46153846153846156,239443.1532078022,5.541020330009492e-05,1.3410115539417755e-09,2.497723077230168e-08,1
0.46153846153846156,149304.94493057966,7.017038286703822e-05,2.1506067199134564e-09,1.6200714324512125e-08,1
0.46153846153846156,93099.19700628839,8.886238162743407e-05,3.4489725226193836e-09,1.0807187855576438e-08,1
0.46153846153846156,58052.058884786304,0.00011253355826007646,5.531195325281092e-09,7.3871716440161725e-09,1
0.46153846153846156,36198.38661620411,0.00014251026703029977,8.870524905436879e-09,5.270109416938757e-09,0
0.46153846153846156,22571.50894075354,0.00018047217668271703,1.4225965361075733e-08,4.085625384003035e-09,0
0.46153846153846156,14074.45469462595,0.00022854638641349906,2.281487850398142e-08,3.5121554028909857e-09,0
0.46153846153846156,8776.10587201715,0.0002894266124716752,3.658994064758676e-08,3.6045519801575035e-09,0
0.46153846153846156,5472.3132733913535,0.0003665241237079626,5.86836496163171e-08,4.468588654131511e-09,0
0.46153846153846156,3412.2296125541156,0.00046415888336127773,9.412189207949724e-08,8.018628421670447e-09,0
0.46153846153846156,2127.6639996020167,0.0005878016072274912,1.5096953001874944e-07,2.0168382894195763e-08,0
0.46153846153846156,1326.6755611793014,0.0007443803013251688,2.421693921224756e-07,8.799132089401247e-08,0
0.46153846153846156,827.223674782036,0.0009426684551178855,3.8849365469778026e-07,1.1729652888397518e-06,1
0.46153846153846156,515.7957968388732,0.0011937766417144358,6.232791018583367e-07,1.8994125054483382e-05,1
0.46153846153846156,321.61017906960495,0.0015117750706156615,1.0000226861761573e-06,538461.538469714,1
0.46153846153846156,200.53020574115675,0.0019144819761699576,1.6045634843606774e-06,1000000.0,1
0.46153846153846156,125.0342235306157,0.0024244620170823282,2.5746194528812786e-06,1000000.0,1
0.46153846153846156,77.96113294996847,0.00307029062975785,4.131119289873993e-06,1000000.0,1
0.46153846153846156,48.61031206929554,0.003888155180308085,6.628451081745184e-06,1000000.0,1
0.46153846153846156,30.309610219233285,0.0049238826317067365,1.0635049487604645e-05,1000000.0,1
0.46153846153846156,18.898805664837884,0.006235507341273912,1.7062639129897427e-05,1000000.0,1
0.46153846153846156,11.783941992848023,0.007896522868499725,2.73735107915416e-05,1000000.0,1
0.46153846153846156,7.3476599577115715,0.01,4.391294236374668e-05,1000000.0,1
0.5153846153846153,641705188.583019,1e-06,4.372150680599783e-13,1000000.0,1
0.5153846153846153,400135741.42916936,1.2663801734674021e-06,7.011699997949841e-13,1000000.0,1
0.5153846153846153,249504935.31364718,1.6037187437513308e-06,1.124479471475395e-12,1000000.0,1
0.5153846153846153,155578985.57812634,2.030917620904735e-06,1.8033488060052195e-12,1000000.0,1
0.5153846153846153,97011390.6669451,2.571913809059347e-06,2.892064283344458e-12,1000000.0,1
0.5153846153846153,60491523.86402129,3.257020655659783e-06,4.638057703516189e-12,1000000.0,1
0.5153846153846153,37719534.10884515,4.124626382901348e-06,7.438140084442784e-12,1000000.0,1
0.5153846153846153,23520043.179487728,5.223345074266844e-06,1.1928684699494153e-11,1000000.0,1
0.5153846153846153,14665940.186277602,6.6147406412301455e-06,1.9130255311053044e-11,1000000.0,1
0.5153846153846153,9144957.764846921,8.376776400682924e-06,3.067954919465434e-11,1000000.0,1
0.5153846153846153,5702345.122879322,1.0608183551394482e-05,4.920136855320354e-11,1000000.0,1
0.5153846153846153,3555701.48267103,1.3433993325988988e-05,7.890515814756603e-11,1000000.0,1
0.5153846153846153,2217160.2648899024,1.7012542798525893e-05,1.2654168414506486e-10,1000000.0,1
0.5153846153846153,1382511.9058160062,2.1544346900318823e-05,2.0293727865218688e-10,1000000.0,1
0.5153846153846153,862066.3086303307,2.7283333764867696e-05,3.254543384911334e-10,1000000.0,1
0.5153846153846153,537542.0741556527,3.455107294592218e-05,5.219372792732237e-10,4.767278593941333e-08,1
0.5153846153846153,335184.74903127516,4.37547937507418e-05,8.370407545822436e-10,2.8128007744025606e-08,1
0.5153846153846153,209004.68962414682,5.541020330009492e-05,1.3423783994759385e-09,1.886243537126597e-08,1
0.5153846153846153,130325.0197657687,7.017038286703822e-05,2.152798757099072e-09,1.2459115441631161e-08,1
0.5153846153846153,81264.25213629741,8.886238162743407e-05,3.4524879380412887e-09,8.470798880828446e-09,1
0.5153846153846153,50672.37207142568,0.00011253355826007646,5.536833076599077e-09,5.911032668749866e-09,1
0.5153846153846153,31596.77968784192,0.00014251026703029977,8.879566317050977e-09,4.397744125960968e-09,0
0.5153846153846153,19702.176309390885,0.00018047217668271703,1.4240465383414833e-08,3.638312241808053e-09,0
0.5153846153846153,12285.283566259219,0.00022854638641349906,2.2838132901389693e-08,3.4242193618599917e-09,0
0.5153846153846153,7660.470802384515,0.0002894266124716752,3.662723547865902e-08,3.745920870090271e-09,0
