#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) 

0.12182841894634397,23.807814367879462,23.357214690901213,0.00014866237080457615
0.12182841894634397,11.504944192708656,33.59818286283781,0.0003073095618310373
0.12182841894634397,5.560848134683244,48.32930238571752,0.0006368627917755496
0.12182841894634397,5.560848134683244,48.32930238571752,0.0006368627917755496
0.12182841894634397,2.687749996586501,69.51927961775606,0.0013189316015352838
0.12182841894634397,1.2986790579783731,100.0,0.0027219909577894255
0.12182841894634397,0.3865488578119407,183.29807108324374,0.009149220378458068
0.12182841894634397,0.026873934923917292,695.192796177562,0.13164877982863554
0.12182841894634397,0.001868153204422168,2636.6508987303664,1.892197649011243
0.12182841894634397,0.00012988996158877107,10000.0,27.25958514675733
0.13446922818258508,9.673084790214444e+17,1e-07,2.7266517395448542e-21
0.13446922818258508,6.724658862971798e+16,3.792690190732254e-07,3.922151890147645e-20
0.13446922818258508,4674934398289588.0,1.438449888287663e-06,5.64181894823013e-19
0.13446922818258508,324998071629361.06,5.455594781168514e-06,8.115473835820748e-18
0.13446922818258508,22593631816833.223,2.06913808111479e-05,1.1673702432536647e-16
0.13446922818258508,1570693007855.2893,7.847599703514623e-05,1.6792035959961685e-15
0.13446922818258508,109193446406.97908,0.00029763514416313193,2.415450225023023e-14
0.13446922818258508,7591049733.426643,0.0011288378916846883,3.4745041053174533e-13
0.13446922818258508,527724309.2444287,0.004281332398719396,4.99790002092917e-12
0.13446922818258508,36687014.05418153,0.01623776739188724,7.189228303910185e-11
0.13446922818258508,2550455.0842260923,0.06158482110660267,1.0341339059601763e-09
0.13446922818258508,967308.884387201,0.1,2.726650699600987e-09
0.13446922818258508,467493.98815018253,0.14384498882876628,5.641836053136698e-09
0.13446922818258508,225937.12239358612,0.20691380811147897,1.167393858932982e-08
0.13446922818258508,177306.70216094548,0.23357214690901212,1.4876013197859388e-08
0.13446922818258508,109194.67037420324,0.29763514416313175,2.4156644469967868e-08
0.13446922818258508,52774.25827324529,0.42813323987193935,4.9995042512353467e-08
0.13446922818258508,25507.103535912574,0.6158482110660264,1.0351680008499975e-07
0.13446922818258508,12329.445386306017,0.8858667904100825,2.1455817505917428e-07
0.13446922818258508,12329.445386305999,0.8858667904100832,2.1455817505917545e-07
0.13446922818258508,5960.985932518276,1.2742749857031335,4.456455186823131e-07
0.13446922818258508,2879.1242253843484,1.8329807108324356,9.291881108301528e-07
0.13446922818258508,1391.805517126339,2.636650898730358,1.9011106128930875e-06
0.13446922818258508,856.4754564801451,3.359818286283788,3.1008001389601787e-06
0.13446922818258508,672.4531661847046,3.79269019073225,3.919179764848907e-06
0.13446922818258508,324.72333801986787,5.455594781168517,8.152896477407983e-06
0.13446922818258508,156.91956611556904,7.847599703514611,1.686158283714276e-05
0.13446922818258508,75.8186476023782,11.288378916846883,3.477189116982383e-05
0.13446922818258508,59.50382294794769,12.742749857031322,4.4357487985175274e-05
0.13446922818258508,36.651413124540255,16.23776739188721,7.214692693801084e-05
0.13446922818258508,17.7064727103718,23.357214690901213,0.00014867187147329138
0.13446922818258508,8.556515333266288,33.59818286283781,0.00030732920091763096
0.13446922818258508,4.1357445964116994,48.32930238571752,0.0006369034925680931
0.13446922818258508,4.1357445964116994,48.32930238571752,0.0006369034925680931
0.13446922818258508,1.998948374330316,69.51927961775606,0.0013190158938241362
0.13446922818258508,0.9658601317345284,100.0,0.002722164910334019
0.13446922818258508,0.2874861019291108,183.29807108324374,0.009149805076337907
0.13446922818258508,0.01998682199565495,695.192796177562,0.13165719314283178
0.13446922818258508,0.001389392205466787,2636.6508987303664,1.8923185724617166
0.13446922818258508,9.660244922972569e-05,10000.0,27.26132725761817
0.14842163662965904,7.191710695695374e+17,1e-07,2.726863690999204e-21
0.14842163662965904,4.999625467840525e+16,3.792690190732254e-07,3.9224567716934766e-20
0.14842163662965904,3475703608828606.0,1.438449888287663e-06,5.642257505055671e-19
0.14842163662965904,241628411050600.47,5.455594781168514e-06,8.116104677837456e-18
0.14842163662965904,16797833071420.922,2.06913808111479e-05,1.1674609867165109e-16
0.14842163662965904,1167773254264.6812,7.847599703514623e-05,1.679334125920162e-15
0.14842163662965904,81182755393.54517,0.00029763514416313193,2.415637985777606e-14
0.14842163662965904,5643766672.525978,0.0011288378916846883,3.4747741897538286e-13
0.14842163662965904,392350593.58738405,0.004281332398719396,4.998288523854872e-12
0.14842163662965904,27275930.809859093,0.01623776739188724,7.189787145867744e-11
0.14842163662965904,1896203.2886907212,0.06158482110660267,1.0342142925328659e-09
0.14842163662965904,719171.378643856,0.1,2.7268626509848713e-09
0.14842163662965904,347570.7749666038,0.14384498882876628,5.642274611356105e-09
0.14842163662965904,167978.93286897513,0.20691380811147897,1.1674846042742203e-08
0.14842163662965904,131823.35989722586,0.23357214690901212,1.4877169559263733e-08
0.14842163662965904,81183.66615035606,0.29763514416313175,2.415852224692477e-08
0.14842163662965904,39236.413921619285,0.42813323987193935,4.999892880752346e-08
0.14842163662965904,18963.921239861444,0.6158482110660264,1.0352484689495382e-07
0.14842163662965904,9166.638236057226,0.8858667904100825,2.1457485399035145e-07
0.14842163662965904,9166.638236057212,0.8858667904100832,2.1457485399035256e-07
0.14842163662965904,4431.836310722082,1.2742749857031335,4.456801633123517e-07
0.14842163662965904,2140.528379876054,1.8329807108324356,9.29260351477073e-07
0.14842163662965904,1034.7722080702995,2.636650898730358,1.9012583978662802e-06
0.14842163662965904,636.764320860664,3.359818286283788,3.1010411947706066e-06
0.14842163662965904,499.95347159236877,3.79269019073225,3.919484412676731e-06
0.14842163662965904,241.42227222168788,5.455594781168517,8.153530252776317e-06
0.14842163662965904,116.66500371886613,7.847599703514611,1.6862893576768124e-05
0.14842163662965904,56.3691200325814,11.288378916846883,3.4774594075178756e-05
0.14842163662965904,44.23943848611555,12.742749857031322,4.4360936046469375e-05
0.14842163662965904,27.249298773472567,16.23776739188721,7.215253531805073e-05
0.14842163662965904,13.164304723300363,23.357214690901213,0.000148683427941293
0.14842163662965904,6.361552353552495,33.59818286283781,0.00030735308974251275
0.14842163662965904,3.0748166472729435,48.32930238571752,0.0006369530002472133
0.14842163662965904,3.0748166472729435,48.32930238571752,0.0006369530002472133
0.14842163662965904,1.4861647596413994,69.51927961775606,0.001319118424724301
0.14842163662965904,0.7180925998209801,100.0,0.002722376504965426
0.14842163662965904,0.21373857755169792,183.29807108324374,0.009150516296900937
0.14842163662965904,0.014859689440783069,695.192796177562,0.13166742699113854
0.14842163662965904,0.0010329781734718473,2636.6508987303664,1.892465662889874
0.14842163662965904,7.182141143558108e-05,10000.0,27.263446329195677
0.163821734664195,5.348266446172011e+17,1e-07,2.7271216447675596e-21
0.163821734664195,3.718076305416938e+16,3.792690190732254e-07,3.9228278252627514e-20
0.163821734664195,2584779863164339.0,1.438449888287663e-06,5.642791247020943e-19
0.163821734664195,179692034057667.5,5.455594781168514e-06,8.116872438907777e-18
0.163821734664195,12492060760738.428,2.06913808111479e-05,1.167571425299094e-16
0.163821734664195,868439065027.905,7.847599703514623e-05,1.6794929862869412e-15
0.163821734664195,60373258192.791245,0.00029763514416313193,2.4158664984544484e-14
0.163821734664195,4197105417.8735633,0.0011288378916846883,3.4751028937882087e-13
0.163821734664195,291779745.264624,0.004281332398719396,4.998761348134411e-12
0.163821734664195,20284317.834653948,0.01623776739188724,7.190467279860116e-11
0.163821734664195,1410151.3313866486,0.06158482110660267,1.0343121263473399e-09
0.163821734664195,534826.8729591467,0.1,2.7271206046633918e-09
0.163821734664195,258478.2928882609,0.14384498882876628,5.642808354992408e-09
0.163821734664195,124921.05427234099,0.20691380811147897,1.1675950451259829e-08
0.163821734664195,98033.20446822715,0.23357214690901212,1.4878576899047589e-08
0.163821734664195,60373.934713254916,0.29763514416313175,2.4160807578726396e-08
0.163821734664195,29178.981574798963,0.42813323987193935,5.000365858347727e-08
0.163821734664195,14102.917861585169,0.6158482110660264,1.035346401530784e-07
0.163821734664195,6816.963326446638,0.8858667904100825,2.14595152694974e-07
0.163821734664195,6816.96332644663,0.8858667904100832,2.145951526949752e-07
0.163821734664195,3295.828708559653,1.2742749857031335,4.4572232601475845e-07
0.163821734664195,1591.8525796416366,1.8329807108324356,9.29348266632079e-07
0.163821734664195,769.5302634435612,2.636650898730358,1.901438256157751e-06
0.163821734664195,473.54370519112706,3.359818286283788,3.1013345615413965e-06
0.163821734664195,371.80083922252925,3.79269019073225,3.919855182872139e-06
0.163821734664195,179.53900514719166,5.455594781168517,8.154301574086828e-06
0.163821734664195,86.76052951155245,7.847599703514611,1.6864488787786e-05
0.163821734664195,41.920124168498084,11.288378916846883,3.477788363399071e-05
0.163821734664195,32.899627785039314,12.742749857031322,4.43651324765308e-05
0.163821734664195,20.264535727372483,16.23776739188721,7.215936088406501e-05
0.163821734664195,9.789919582477825,23.357214690901213,0.0001486974927547231
0.163821734664195,4.7309054809685325,33.59818286283781,0.0003073821637831208
0.163821734664195,2.286654160539707,48.32930238571752,0.0006370132535086951
0.163821734664195,2.286654160539707,48.32930238571752,0.0006370132535086951
0.163821734664195,1.1052186648361086,69.51927961775606,0.0013192432092885076
0.163821734664195,0.5340250299000542,100.0,0.0027226340276522024
0.163821734664195,0.15895130421503695,183.29807108324374,0.009151381891261827
0.163821734664195,0.011050728708937144,695.192796177562,0.1316798821267697
0.163821734664195,0.0007681964399309158,2636.6508987303664,1.8926446803044887
0.163821734664195,5.341154419532586e-05,10000.0,27.266025343337564
0.1808197332802014,3.977084150410734e+17,1e-07,2.7274357096270282e-21
0.1808197332802014,2.764840251157488e+16,3.792690190732254e-07,3.923279591824769e-20
0.1808197332802014,1922097025186447.2,1.438449888287663e-06,5.64344109058161e-19
0.1808197332802014,133622800546394.12,5.455594781168514e-06,8.117807206305018e-18
0.1808197332802014,9289360834492.494,2.06913808111479e-05,1.1677058869049084e-16
0.1808197332802014,645789673323.4135,7.847599703514623e-05,1.6796864025688032e-15
0.1808197332802014,44894832874.12878,0.00029763514416313193,2.416144718083481e-14
0.1808197332802014,3121056440.0682197,0.0011288378916846883,3.475503098782391e-13
0.1808197332802014,216973595.4593938,0.004281332398719396,4.999337022961151e-12
0.1808197332802014,15083848.153787145,0.01623776739188724,7.191295359201866e-11
0.1808197332802014,1048618.382059618,0.06158482110660267,1.034431241347287e-09
0.1808197332802014,397708.584412166,0.1,2.727434669410092e-09
0.1808197332802014,192209.93001319995,0.14384498882876628,5.643458200566644e-09
0.1808197332802014,92893.93992387317,0.20691380811147897,1.1677295094806946e-08
0.1808197332802014,72899.56555913854,0.23357214690901212,1.488029036850573e-08
0.1808197332802014,44895.335224843664,0.29763514416313175,2.416359002371083e-08
0.1808197332802014,21698.107459028713,0.42813323987193935,5.000941719226889e-08
0.1808197332802014,10487.227046999344,0.6158482110660264,1.0354656364106685e-07
0.1808197332802014,5069.236723043064,0.8858667904100825,2.1461986664695123e-07
0.1808197332802014,5069.236723043056,0.8858667904100832,2.1461986664695243e-07
0.1808197332802014,2450.846234265024,1.2742749857031335,4.457736590834349e-07
0.1808197332802014,1183.734264892822,1.8329807108324356,9.294553015901035e-07
0.1808197332802014,572.2388518527032,2.636650898730358,1.9016572361304274e-06
0.1808197332802014,352.13695717759805,3.359818286283788,3.1016917359059492e-06
0.1808197332802014,276.47898862830164,3.79269019073225,3.92030660528958e-06
0.1808197332802014,133.50900433716552,5.455594781168517,8.155240668295318e-06
0.1808197332802014,64.51697675787105,7.847599703514611,1.686643098418696e-05
0.1808197332802014,31.172701348277464,11.288378916846883,3.478188875884481e-05
0.1808197332802014,24.464865534949418,12.742749857031322,4.4370241726953e-05
0.1808197332802014,15.069137524229209,16.23776739188721,7.216767111968543e-05
0.1808197332802014,7.2799941423096275,23.357214690901213,0.00014871461709059237
0.1808197332802014,3.5180030756916976,33.59818286283781,0.00030741756240264224
0.1808197332802014,1.7004050396148258,48.32930238571752,0.0006370866135806927
0.1808197332802014,1.7004050396148258,48.32930238571752,0.0006370866135806927
0.1808197332802014,0.8218641868831493,69.51927961775606,0.0013193951376254834
0.1808197332802014,0.3971125036754864,100.0,0.002722947570278144
0.1808197332802014,0.11819960622142442,183.29807108324374,0.009152435780629034
0.1808197332802014,0.008217559094712022,695.192796177562,0.13169504664596055
0.1808197332802014,0.0005712473992559079,2636.6508987303664,1.8928626400982513
0.1808197332802014,3.9717967852794124e-05,10000.0,27.26916536741189
0.19958142923186353,2.957197550920415e+17,1e-07,2.7278181967269574e-21
0.19958142923186353,2.055822434273792e+16,3.792690190732254e-07,3.923829780350934e-20
0.19958142923186353,1429192946527359.2,1.438449888287663e-06,5.644232509205611e-19
0.19958142923186353,99356464077360.42,5.455594781168514e-06,8.1189456223363e-18
0.19958142923186353,6907189808025.61,2.06913808111479e-05,1.1678696423462107e-16
0.19958142923186353,480182859637.1197,7.847599703514623e-05,1.6799219565650507e-15
0.19958142923186353,33381966486.840054,0.00029763514416313193,2.416483550703061e-14
0.19958142923186353,2320690262.4627547,0.0011288378916846883,3.4759904925260305e-13
0.19958142923186353,161332715.33610147,0.004281332398719396,5.000038114434273e-12
0.19958142923186353,11215734.224087873,0.01623776739188724,7.192303844093941e-11
0.19958142923186353,779709.8559677232,0.06158482110660267,1.0345763067674537e-09
0.19958142923186353,295719.8806524963,0.1,2.727817156369904e-09
0.19958142923186353,142919.463309292,0.14384498882876628,5.644249621625703e-09
0.19958142923186353,69072.14391075802,0.20691380811147897,1.1678932682583707e-08
0.19958142923186353,54205.14259154688,0.23357214690901212,1.4882377134587173e-08
0.19958142923186353,33382.338936865155,0.29763514416313175,2.4166978652010116e-08
0.19958142923186353,16133.82605745357,0.42813323987193935,5.001643036781885e-08
0.19958142923186353,7797.872048085516,0.6158482110660264,1.0356108475229504e-07
0.19958142923186353,3769.2748327662466,0.8858667904100825,2.1464996461787968e-07
0.19958142923186353,3769.2748327662407,0.8858667904100832,2.1464996461788087e-07
0.19958142923186353,1822.346009372826,1.2742749857031335,4.4583617474248713e-07
0.19958142923186353,880.173793488826,1.8329807108324356,9.295856520516789e-07
0.19958142923186353,425.4931641912874,2.636650898730358,1.9019239216631834e-06
0.19958142923186353,261.83424298200595,3.359818286283788,3.102126718872924e-06
0.19958142923186353,205.57853314036456,3.79269019073225,3.920856375411041e-06
0.19958142923186353,99.27178106536184,5.455594781168517,8.156384347302324e-06
0.19958142923186353,47.97217210918616,7.847599703514611,1.6868796298843625e-05
0.19958142923186353,23.17875450960589,11.288378916846883,3.478676644814331e-05
0.19958142923186353,18.19107592437966,12.742749857031322,4.4376464077159524e-05
0.19958142923186353,11.204789747175703,16.23776739188721,7.21777917809366e-05
0.19958142923186353,5.413109339348317,23.357214690901213,0.0001487354722122717
0.19958142923186353,2.6158454946383034,33.59818286283781,0.00030746067320513
0.19958142923186353,1.2643523076911989,48.32930238571752,0.0006371759561325073
0.19958142923186353,1.2643523076911989,48.32930238571752,0.0006371759561325073
0.19958142923186353,0.6111047508668607,69.51927961775606,0.001319580165231557
0.19958142923186353,0.295276884331738,100.0,0.0027233294235208916
0.19958142923186353,0.08788846397201375,183.29807108324374,0.00915371927681506
0.19958142923186353,0.006110245257804224,695.192796177562,0.13171351498849204
0.19958142923186353,0.00042475658876276135,2636.6508987303664,1.8931280861607724
0.19958142923186353,2.9532672048478565e-05,10000.0,27.272989488417604
0.2202898221982655,2.1839004854440486e+17,1e-07,2.7100441587722897e-21
0.2202898221982655,1.5182318850493752e+16,3.792690190732254e-07,3.8982627174406225e-20
0.2202898221982655,1055463869413406.4,1.438449888287663e-06,5.607455570418428e-19
0.2202898221982655,73375087864189.61,5.455594781168514e-06,8.066043838846319e-18
0.2202898221982655,5100983250208.048,2.06913808111479e-05,1.1602599858910703e-16
0.2202898221982655,354616680896.7465,7.847599703514623e-05,1.6689758470872154e-15
0.2202898221982655,24652696196.42555,0.00029763514416313193,2.400738120746841e-14
0.2202898221982655,1713837680.2550368,0.0011288378916846883,3.453341480551111e-13
0.2202898221982655,119144760.95733848,0.004281332398719396,4.9674586454105345e-12
0.2202898221982655,8282857.996930714,0.01623776739188724,7.145439904369568e-11
0.2202898221982655,575818.3749488939,0.06158482110660267,1.0278351424293737e-09
0.2202898221982655,218390.1200815515,0.1,2.710042867493663e-09
0.2202898221982655,105546.48091200183,0.14384498882876628,5.607470978030141e-09
