#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  gamma  gamma) ,  Allowed/excluded  (1/0) 

0.1280954922105415,72901913.61239547,0.0011288378916846883,4.2909344530772756e-08,2.0046e-06,1
0.1280954922105415,5066319.972063849,0.004281332398719396,6.194792826762997e-07,2.0046e-06,1
0.1280954922105415,352126.37600739737,0.01623776739188724,8.93214584196612e-06,2.0046e-06,0
0.1280954922105415,24477.59159706509,0.06158482110660267,0.0001285926754004683,2.0046e-06,0
0.1280954922105415,9283.480842682195,0.1,0.00033909630048922583,2.0046e-06,0
0.1280954922105415,4486.614878345564,0.14384498882876628,0.0007016804378472765,2.0046e-06,0
0.1280954922105415,2168.340648756689,0.20691380811147897,0.0014519365809044355,2.0046e-06,0
0.1280954922105415,1701.6250927535143,0.23357214690901212,0.0018501874021990663,2.0046e-06,0
0.1280954922105415,1047.9408612427203,0.29763514416313175,0.003004348186288155,2.0046e-06,0
0.1280954922105415,506.4614798962726,0.42813323987193935,0.006216542506692368,2.0046e-06,0
0.1280954922105415,244.768953886692,0.6158482110660264,0.012863074142581919,1.5686034642761475e-06,0
0.1280954922105415,118.29501134462282,0.8858667904100825,0.026615749351901943,9.459806767377106e-07,0
0.1280954922105415,118.29501134462264,0.8858667904100832,0.026615749351902092,9.459806767377097e-07,0
0.1280954922105415,57.17111454058549,1.2742749857031335,0.05507205344783309,6.450718076978885e-07,0
0.1280954922105415,27.630387641894263,1.8329807108324356,0.11395224866348323,4.626645975158573e-07,0
0.1280954922105415,13.353569162309121,2.636650898730358,0.23578375131901141,2.9980417017973643e-07,0
0.1280954922105415,8.223770339702266,3.359818286283788,0.3828608201194792,2.412868450773192e-07,0
0.1280954922105415,6.453685330214219,3.79269019073225,0.48787031041447454,2.2109489534575255e-07,0
0.1280954922105415,3.119020597662943,5.455594781168517,1.0094727237809986,1.855e-07,0
0.1280954922105415,1.507400727891064,7.847599703514611,2.0887408801374288,1.855e-07,0
0.1280954922105415,0.7285161994180425,11.288378916846883,4.321896786150394,1.855e-07,0
0.1280954922105415,0.5717103395072078,12.742749857031322,5.507286122952554,1.855e-07,0
0.1280954922105415,0.35208677795112614,16.23776739188721,8.942606242803455,1.855e-07,0
0.1280954922105415,0.17016107719386808,23.357214690901213,18.503494342815355,1.855e-07,0
0.1280954922105415,0.08223765939539364,33.59818286283781,38.28629516654961,1.855e-07,0
0.1280954922105415,0.039744886363624596,48.32930238571752,79.21964625722116,1.855e-07,0
0.1280954922105415,0.039744886363624596,48.32930238571752,79.21964625722116,1.855e-07,0
0.1280954922105415,0.01920842607145149,69.51927961775606,163.9164083389678,1.855e-07,0
0.1280954922105415,0.009283298238271547,100.0,339.1657135346971,1.855e-07,0
0.1280954922105415,0.0027630357843652256,183.29807108324374,1139.535274093625,1.855e-07,0
