#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) 

0.06,73092166977.40234,7.847599703514623e-05,8.143433066783269e-10
0.06,5081314793.981102,0.00029763514416313193,1.171392038517842e-08
0.06,353249343.9999499,0.0011288378916846883,1.6849887469180394e-07
0.06,24557639.93162292,0.004281332398719396,2.4237718741701814e-06
0.06,1707229.4483299807,0.01623776739188724,3.48647436921947e-05
0.06,118685.37210307179,0.06158482110660267,0.0005015118410175009
0.06,45013.69146791144,0.1,0.0013223115274457824
0.06,21754.80847948208,0.14384498882876628,0.002736044713878919
0.06,10513.952299135428,0.20691380811147897,0.0056612525085011885
0.06,8250.930945497716,0.23357214690901212,0.0072139912475930115
0.06,5081.324584312673,0.29763514416313175,0.011713905521638196
0.06,2455.773134766266,0.42813323987193935,0.02423765601276248
0.06,1186.862060391176,0.6158482110660264,0.05015092609194396
0.06,573.6058531489542,0.8858667904100825,0.1037686806811942
0.06,573.6058531489533,0.8858667904100832,0.10376868068119441
0.06,277.22314116873696,1.2742749857031335,0.21470995038880128
0.06,133.98326434293955,1.8329807108324356,0.44425990869328386
0.06,64.6521921518127,2.636650898730358,0.9192338340567177
0.06,39.815254967267194,3.359818286283788,1.4926602674026983
0.06,31.245116259869157,3.79269019073225,1.9021022119582036
0.06,15.100096673992427,5.455594781168517,3.9362961051989354
0.06,7.297628751202787,7.847599703514611,8.147339595651607
0.06,3.5269248633638046,11.288378916846883,16.866772603959888
0.06,2.767822946194464,12.742749857031322,21.497606674584656
0.06,1.7046271792155743,16.23776739188721,34.924728506887305
0.06,0.8239192656792415,23.357214690901213,72.32783885666228
0.06,0.39809181219522005,33.59818286283781,149.23188706204496
0.06,0.1924079519347449,48.32930238571752,308.7267051192378
0.06,0.1924079519347449,48.32930238571752,308.7267051192378
0.06,0.09299967354646782,69.51927961775606,638.7686099348657
0.06,0.044952253191993564,100.0,1321.757787123943
0.06,0.013374950153262236,183.29807108324374,4441.932593687205
0.06,0.0009297321892752666,695.192796177562,63874.8261765848
0.06,6.463393459827929e-05,2636.6508987303664,918830.7521188492
0.06,4.493377887241171e-06,10000.0,13219432.164481856
0.07,2.834682513015477e+16,1e-07,1.7587197023900828e-15
0.07,1970650862498859.2,3.792690190732254e-07,2.529830159432331e-14
0.07,136998228339030.56,1.438449888287663e-06,3.6390339102221924e-13
0.07,9524018143038.287,5.455594781168514e-06,5.234567921634115e-12
0.07,662102880370.4661,2.06913808111479e-05,7.529663642108755e-11
0.07,46028915276.20315,7.847599703514623e-05,1.083104382483414e-09
0.07,3199897031.595521,0.00029763514416313193,1.5579913779852782e-08
0.07,222454536.49465618,0.0011288378916846883,2.2410925235774834e-07
0.07,15464879.131927459,0.004281332398719396,3.223699289384273e-06
0.07,1075107.2636624144,0.01623776739188724,4.63712986617491e-05
0.07,74740.68922812269,0.06158482110660267,0.0006670278596493029
0.07,28346.832178296743,0.1,0.0017587194474855516
0.07,13699.82965031239,0.14384498882876628,0.003639032820642332
0.07,6621.035325914504,0.20691380811147897,0.007529658992733572
0.07,5195.924777650253,0.23357214690901212,0.009594854493660609
0.07,3199.9031970703063,0.29763514416313175,0.015579894010837158
0.07,1546.493670131173,0.42813323987193935,0.032236909462213165
0.07,747.4121440064888,0.6158482110660264,0.06670244280308511
0.07,361.2214046474265,0.8858667904100825,0.13801588579240257
0.07,361.2214046474258,0.8858667904100832,0.13801588579240284
0.07,174.57794743786152,1.2742749857031335,0.28557155971169257
0.07,84.37435343229532,1.8329807108324356,0.5908808362778714
0.07,40.713941199990956,2.636650898730358,1.2226123626594056
0.07,25.073178423560993,3.359818286283788,1.9852890837615007
0.07,19.67623654355669,3.79269019073225,2.52986083978107
0.07,9.509104445998222,5.455594781168517,5.23540812250754
0.07,4.595594023170163,7.847599703514611,10.836239641515991
0.07,2.2210385583752075,11.288378916846883,22.433383041135933
0.07,1.7430032473951527,12.742749857031322,28.5925503546194
0.07,1.073468488312025,16.23776739188721,46.45108051191379
0.07,0.5188532616226528,23.357214690901213,96.19849343484508
0.07,0.250693534707961,33.59818286283781,198.48350143929846
0.07,0.12116659563951199,48.32930238571752,410.6170512633629
0.07,0.12116659563951199,48.32930238571752,410.6170512633629
0.07,0.0585654270032602,69.51927961775606,849.5840453767981
0.07,0.0283081414150487,100.0,1757.982953964424
0.07,0.008422714129139103,183.29807108324374,5907.921904021921
0.07,0.0005854876720000991,695.192796177562,84955.69816177446
0.07,4.07024434908007e-05,2636.6508987303664,1222076.249929277
0.07,2.8296507205509777e-06,10000.0,17582295.81292335
0.08,1.8990200814658132e+16,1e-07,2.2552491991781303e-15
0.08,1320185080431554.8,3.792690190732254e-07,3.244062958618628e-14
0.08,91778315753711.17,1.438449888287663e-06,4.666422000423105e-13
0.08,6380362395728.973,5.455594781168514e-06,6.7124142052116875e-12
0.08,443558197451.3022,2.06913808111479e-05,9.655471463627246e-11
0.08,30835846355.36964,7.847599703514623e-05,1.3888911848218205e-09
0.08,2143685825.0338964,0.00029763514416313193,1.997850369648274e-08
0.08,149027494.28793466,0.0011288378916846883,2.873807640986551e-07
0.08,10360284.050904544,0.004281332398719396,4.133828279113946e-06
0.08,720239.4885673552,0.01623776739188724,5.9463048051169214e-05
0.08,50070.534917226454,0.06158482110660267,0.0008553461044754569
0.08,18990.205536507576,0.1,0.0022552488723078276
0.08,9177.836141973356,0.14384498882876628,0.004666420603228256
