#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  mu  mu) 

0.676923076923077,1767783208.0526135,0.00020691380811147902,2.819253459396634e-17
0.676923076923077,670465403.2534193,0.0003359818286283781,7.433387167717242e-17
0.676923076923077,254286755.81564438,0.0005455594781168515,1.9599246958114713e-16
0.676923076923077,96443088.44269879,0.0008858667904100823,5.167637211867384e-16
0.676923076923077,36577875.551242314,0.0014384498882876629,1.3625255307422594e-15
0.676923076923077,13872854.981290797,0.002335721469090121,3.5925041710570775e-15
0.676923076923077,5261544.101689313,0.003792690190732246,9.472179392407044e-15
0.676923076923077,1995540.6714513055,0.00615848211066026,2.4974830596579267e-14
0.676923076923077,756846.7541823762,0.01,6.584991159037438e-14
0.7307692307692307,60176786130247.64,1e-06,5.703842133547153e-22
0.7307692307692307,22823190646598.27,1.6237767391887209e-06,1.5039040487633129e-21
0.7307692307692307,8656129128656.545,2.6366508987303555e-06,3.9652699617760365e-21
0.7307692307692307,3283001603596.725,4.281332398719396e-06,1.0455032608425293e-20
0.7307692307692307,1245140797811.9575,6.951927961775606e-06,2.756627112326001e-20
0.7307692307692307,472243328994.19525,1.1288378916846883e-05,7.268263353179185e-20
0.7307692307692307,179107264151.50317,1.8329807108324375e-05,1.9163873102370675e-19
0.7307692307692307,67929836383.63061,2.9763514416313192e-05,5.052844323853349e-19
0.7307692307692307,25763682411.025208,4.8329302385717524e-05,1.3322586527641768e-18
0.7307692307692307,9771366555.744602,7.847599703514606e-05,3.512700974158416e-18
0.7307692307692307,3705976608.603117,0.00012742749857031334,9.26176618053074e-18
0.7307692307692307,1405562113.0541685,0.00020691380811147902,2.442004412403875e-17
0.7307692307692307,533086163.86549526,0.0003359818286283781,6.438713128885209e-17
0.7307692307692307,202183066.45172685,0.0005455594781168515,1.6976638759452088e-16
0.7307692307692307,76681773.28731553,0.0008858667904100823,4.476146985303551e-16
0.7307692307692307,29083020.936428837,0.0014384498882876629,1.1802036978964066e-15
0.7307692307692307,11030288.823199464,0.002335721469090121,3.111785145841281e-15
0.7307692307692307,4183446.823024402,0.003792690190732246,8.204691137053401e-15
0.7307692307692307,1586651.7738711054,0.00615848211066026,2.16329065104686e-14
0.7307692307692307,601767.8628503719,0.01,5.703842417148908e-14
0.7846153846153846,48631273738955.19,1e-06,4.986993110380616e-22
0.7846153846153846,18444335487255.016,1.6237767391887209e-06,1.3148959866447099e-21
0.7846153846153846,6995365027708.691,2.6366508987303555e-06,3.466921684923735e-21
0.7846153846153846,2653125232118.2114,4.281332398719396e-06,9.141062176381951e-21
0.7846153846153846,1006248204263.8984,6.951927961775606e-06,2.4101789802707773e-20
0.7846153846153846,381638769375.3638,1.1288378916846883e-05,6.354800574432272e-20
0.7846153846153846,144743761701.3074,1.8329807108324375e-05,1.675539064583068e-19
0.7846153846153846,54896824517.42432,2.9763514416313192e-05,4.417811580491936e-19
0.7846153846153846,20820664784.95926,4.8329302385717524e-05,1.1648226874133526e-18
0.7846153846153846,7896633109.444726,7.847599703514606e-05,3.0712307856355706e-18
0.7846153846153846,2994948293.4010215,0.00012742749857031334,8.09776341119369e-18
0.7846153846153846,1135891101.4140065,0.00020691380811147902,2.1350975176102506e-17
0.7846153846153846,430808303.80807024,0.0003359818286283781,5.629506788873857e-17
0.7846153846153846,163392242.7946618,0.0005455594781168515,1.484304413561361e-16
0.7846153846153846,61969615.649681166,0.0008858667904100823,3.9135925669248924e-16
0.7846153846153846,23503155.340575572,0.0014384498882876629,1.0318777365244573e-15
0.7846153846153846,8914018.671922592,0.002335721469090121,2.720701365845992e-15
0.7846153846153846,3380811.1184783033,0.003792690190732246,7.173539732586389e-15
0.7846153846153846,1282236.917356941,0.00615848211066026,1.891412020180218e-14
0.7846153846153846,486312.738650052,0.01,4.9869933584380705e-14
0.8384615384615385,39859511129624.08,1e-06,4.396730079789603e-22
0.8384615384615385,15117477686870.816,1.6237767391887209e-06,1.1592642316352016e-21
0.8384615384615385,5733590933160.866,2.6366508987303555e-06,3.0565750782069285e-21
0.8384615384615385,2174573408987.0518,4.281332398719396e-06,8.059121426991125e-21
0.8384615384615385,824748323729.2402,6.951927961775606e-06,2.124908975345343e-20
0.8384615384615385,312801487723.0762,1.1288378916846883e-05,5.602643159564779e-20
0.8384615384615385,118635913413.3769,1.8329807108324375e-05,1.477221412193341e-19
0.8384615384615385,44994926507.148186,2.9763514416313192e-05,3.8949171640843273e-19
0.8384615384615385,17065181639.638588,4.8329302385717524e-05,1.026953684117037e-18
0.8384615384615385,6472294700.772783,7.847599703514606e-05,2.707718354186614e-18
0.8384615384615385,2454740862.3155622,0.00012742749857031334,7.1393080321095e-18
0.8384615384615385,931007158.9300219,0.00020691380811147902,1.882386293941501e-17
0.8384615384615385,353102171.9181785,0.0003359818286283781,4.963195513845986e-17
0.8384615384615385,133920714.37667209,0.0005455594781168515,1.3086213913321283e-16
0.8384615384615385,50791977.97586559,0.0008858667904100823,3.450377768364026e-16
0.8384615384615385,19263823.664335553,0.0014384498882876629,9.097441649558503e-16
0.8384615384615385,7306171.505412813,0.002335721469090121,2.3986777740780115e-15
0.8384615384615385,2771004.5006801425,0.003792690190732246,6.324475936260887e-15
0.8384615384615385,1050956.1594635956,0.00615848211066026,1.6675435354307014e-14
0.8384615384615385,398595.1123358335,0.01,4.396730298558029e-14
0.8923076923076922,33076262894845.664,1e-06,3.905351672043954e-22
0.8923076923076922,12544801782736.227,1.6237767391887209e-06,1.029704899595276e-21
0.8923076923076922,4757854666606.418,2.6366508987303555e-06,2.7149723489449548e-21
0.8923076923076922,1804506872296.7766,4.281332398719396e-06,7.158434283873795e-21
0.8923076923076922,684393551366.8934,6.951927961775606e-06,1.8874292188078224e-20
