#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  gamma  gamma) ,  Allowed/excluded  (1/0) 

0.16408455124660903,60083587211.39579,0.00029763514416313193,2.415870592374531e-14,2.0046e-06,1
0.16408455124660903,4176967699.920129,0.0011288378916846883,3.4751087826870925e-13,2.0046e-06,1
0.16408455124660903,290379785.6187007,0.004281332398719396,4.998769819020316e-12,2.0046e-06,1
0.16408455124660903,20186993.647908382,0.01623776739188724,7.190479464804288e-11,2.0046e-06,1
0.16408455124660903,1403385.4232181387,0.06158482110660267,1.0343138790895625e-09,2.0046e-06,1
0.16408455124660903,532260.7728265022,0.1,2.7271252260338686e-09,2.0046e-06,1
0.16408455124660903,257238.11364813286,0.14384498882876628,5.642817917279202e-09,2.0046e-06,1
0.16408455124660903,124321.68285869554,0.20691380811147897,1.1675970237295382e-08,2.0046e-06,1
0.16408455124660903,97562.84099720149,0.23357214690901212,1.487860211224885e-08,2.0046e-06,1
0.16408455124660903,60084.260473245595,0.29763514416313175,2.4160848521592796e-08,2.0046e-06,1
0.16408455124660903,29038.98076451115,0.42813323987193935,5.000374331975338e-08,2.0046e-06,1
0.16408455124660903,14035.252025315205,0.6158482110660264,1.0353481560394244e-07,2.0046e-06,1
0.16408455124660903,6784.255508290798,0.8858667904100825,2.1459551635484904e-07,2.0046e-06,1
0.16408455124660903,6784.255508290785,0.8858667904100832,2.145955163548502e-07,2.0046e-06,1
0.16408455124660903,3280.0152965744232,1.2742749857031335,4.457230813724718e-07,2.0046e-06,1
0.16408455124660903,1584.2148692213145,1.8329807108324356,9.293498416450746e-07,2.0046e-06,1
0.16408455124660903,765.8380550031402,2.636650898730358,1.9014414783953283e-06,2.0046e-06,1
0.16408455124660903,471.2716416931486,3.359818286283788,3.101339817300724e-06,2.0046e-06,0
0.16408455124660903,370.0169382746882,3.79269019073225,3.919861825414679e-06,2.0046e-06,0
0.16408455124660903,178.67757774577464,5.455594781168517,8.154315392633502e-06,1.2432400256261541e-06,0
0.16408455124660903,86.34425307926767,7.847599703514611,1.6864517366707343e-05,7.886892238479182e-07,0
0.16408455124660903,41.71899165353902,11.288378916846883,3.477794256816997e-05,5.690020368664846e-07,0
0.16408455124660903,32.741775558260485,12.742749857031322,4.43652076576703e-05,5.20971903273819e-07,0
0.16408455124660903,20.167306539929477,16.23776739188721,7.215948316709035e-05,3.7753074369204436e-07,0
0.16408455124660903,9.742947601536201,23.357214690901213,0.00014869774473370444,2.586166064954795e-07,0
0.16408455124660903,4.708206625005274,33.59818286283781,0.0003073826846615648,2.0118363792919902e-07,0
0.16408455124660903,2.275682807171455,48.32930238571752,0.0006370143329787059,1.855e-07,0
0.16408455124660903,2.275682807171455,48.32930238571752,0.0006370143329787059,1.855e-07,0
0.16408455124660903,1.0999158306858652,69.51927961775606,0.0013192454448683246,1.855e-07,0
0.16408455124660903,0.5314627810733955,100.0,0.0027226386413227374,1.855e-07,0
0.16408455124660903,0.15818865680246078,183.29807108324374,0.00915139739888459,1.855e-07,0
0.16408455124660903,0.010997707374707183,695.192796177562,0.13168010526759572,1.855e-07,0
0.16408455124660903,0.0007645106379471301,2636.6508987303664,1.892647887506903,1.855e-07,0
0.16408455124660903,5.315527587281518e-05,10000.0,27.26607154778505,1.855e-07,0
