#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) 

0.01,48.58410665090088,695.192796177562,2.309956447207184e-05
0.01,3.377347533133223,2636.6508987303664,0.0003320117468623683
0.01,0.23482171718970785,10000.0,0.004783064063699955
0.02,2.9397083145267325e+20,1e-07,4.776455734682455e-25
0.02,2.0436640431222575e+19,3.792690190732254e-07,6.870692217960524e-24
0.02,1.4207405205857042e+18,1.438449888287663e-06,9.883146453387822e-23
0.02,9.876885751487418e+16,5.455594781168514e-06,1.421641091179952e-21
0.02,6866339823102899.0,2.06913808111479e-05,2.0449594687917415e-20
0.02,477342998112895.94,7.847599703514623e-05,2.9415717194312383e-19
0.02,33184541359461.344,0.00029763514416313193,4.2313035111179566e-18
0.02,2939708314605.202,0.001,4.776455733482218e-17
0.02,2306965409828.4297,0.0011288378916846883,6.086518061067482e-17
0.02,2018547318897.8125,0.0012067926406393288,6.956184034511048e-17
0.02,1386033185132.3284,0.0014563484775012444,1.0130628026195643e-16
0.02,951718085733.3723,0.0017575106248547913,1.4753724698532053e-16
0.02,653496124363.1597,0.0021209508879201904,2.1486564494607657e-16
0.02,448722359033.3956,0.002559547922699536,3.129192547240105e-16
0.02,308114689582.54376,0.0030888435964774815,4.557194798590006e-16
0.02,211566595755.38712,0.003727593720314938,6.636863699411272e-16
0.02,160378573467.59317,0.004281332398719396,8.755151187853518e-16
0.02,145271958641.6253,0.004498432668969444,9.665586328812726e-16
0.02,99750822637.51237,0.005428675439323859,1.4076461901972683e-15
0.02,68493787177.047874,0.006551285568595509,2.0500233791605217e-15
0.02,47031179879.922134,0.0079060432109077,2.9855484127458975e-15
0.02,32293905368.655716,0.009540954763499945,4.347998855200044e-15
0.02,22174572847.10532,0.01151395399326447,6.332201449463503e-15
0.02,15226144859.141836,0.013894954943731374,9.221891807238257e-15
0.02,11149402968.229317,0.01623776739188724,1.2593845507322179e-14
0.02,10455014806.8589,0.016768329368110076,1.3430287816141383e-14
0.02,7178923867.447629,0.020235896477251564,1.9559178640424234e-14
0.02,4929399808.278344,0.02442053094548651,2.8484978861180185e-14
0.02,3384766711.9650326,0.029470517025518096,4.1484053233246006e-14
0.02,2324146181.46214,0.03556480306223128,6.041523312500058e-14
0.02,1595872320.683623,0.04291934260128776,8.798562403059664e-14
0.02,1095803917.4397333,0.0517947467923121,1.2813771429397705e-13
0.02,775098554.3560624,0.06158482110660267,1.8115605869067582e-13
0.02,752432528.9180923,0.0625055192527397,1.8661314229540965e-13
0.02,516656965.80103517,0.07543120063354615,2.717737457182767e-13
0.02,354761953.6185302,0.09102981779915217,3.957973221907109e-13
0.02,293970956.50836265,0.1,4.776453913039887e-13
0.02,243596938.6954951,0.10985411419875583,5.764191594083494e-13
0.02,167265620.8294395,0.13257113655901082,8.394685724007938e-13
0.02,142074220.23937342,0.14384498882876628,9.88317641780415e-13
0.02,114852824.69976065,0.15998587196060574,1.2225637561888009e-12
0.02,78863658.65933381,0.19306977288832497,1.7804949545593645e-12
0.02,68663643.63295344,0.20691380811147897,2.0450008383526176e-12
0.02,54151764.74637754,0.2329951810515372,2.5930701267974413e-12
