#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(KL->pi0  a) 

0.21999000000000002,3701.7149573443867,0.6158482110660264,5.648328482468419e-07
0.21999000000000002,1789.036982825778,0.8858667904100825,1.1688261471612205e-06
0.21999000000000002,1789.0369828257758,0.8858667904100832,1.1688261471611377e-06
0.21999000000000002,864.654074382014,1.2742749857031335,2.41899617748448e-06
0.21999000000000002,417.51630933567657,1.8329807108324356,5.047065485459001e-06
0.21999000000000002,201.73068133455251,2.636650898730358,1.0412499967410884e-05
0.21999000000000002,124.21157067702829,3.359818286283788,1.687053525820327e-05
0.21999000000000002,97.46705858463059,3.79269019073225,2.147464014961431e-05
0.21999000000000002,47.09436987870004,5.455594781168517,4.432120355365849e-05
0.21999000000000002,22.760133342993974,7.847599703514611,9.171330111552667e-05
0.21999000000000002,10.996557270533176,11.288378916846883,0.0001891945147297766
0.21999000000000002,8.629280440090813,12.742749857031322,0.00024098312893853856
0.21999000000000002,5.31455410089696,16.23776739188721,0.00039154770269374375
0.21999000000000002,2.568194628709525,23.357214690901213,0.0008092220815968086
0.21999000000000002,1.2414871495434847,33.59818286283781,0.0016792287559384775
0.21999000000000002,0.6000118162545249,48.32930238571752,0.003472997410078292
0.21999000000000002,0.6000118162545249,48.32930238571752,0.003472997410078292
0.21999000000000002,0.28992785867545323,69.51927961775606,0.007167606993841395
0.21999000000000002,0.14012813267675064,100.0,0.014832284443375005
0.21999000000000002,0.04171203760364894,183.29807108324374,0.04985756352278841
0.21999000000000002,0.0029000380184945507,695.192796177562,0.7168053674388108
0.21999000000000002,0.00020153355643394444,2636.6508987303664,10.307526416593726
0.21999000000000002,1.4012091981447977e-05,10000.0,148.49474528363166
0.24016,1.0666004784334893e+17,1e-07,1.949465307564814e-20
0.24016,7414929690064997.0,3.792690190732254e-07,2.8042081538870446e-19
0.24016,515480570469631.3,1.438449888287663e-06,4.0337129056939146e-18
0.24016,35835837915998.78,5.455594781168514e-06,5.802293878578823e-17
0.24016,2491281636418.9375,2.06913808111479e-05,8.346308981459516e-16
0.24016,173192104688.83224,7.847599703514623e-05,1.2005747221999812e-14
0.24016,12040190353.49326,0.00029763514416313193,1.726966575065789e-13
0.24016,837025359.8780959,0.0011288378916846883,2.484154877702111e-12
0.24016,58189400.08301619,0.004281332398719396,3.573332321269474e-11
0.24016,4045285.2173252515,0.01623776739188724,5.140059786027145e-10
0.24016,281225.35513975815,0.06158482110660267,7.393724671221522e-09
0.24016,106660.09105319876,0.1,1.949469916720977e-08
0.24016,51548.099297653556,0.14384498882876628,4.033732362872493e-08
0.24016,24912.857396330342,0.20691380811147897,8.346390850873837e-08
0.24016,19550.62159997969,0.23357214690901212,1.0635624854767263e-07
0.24016,12040.229920117792,0.29763514416313175,1.727000955678628e-07
0.24016,5818.9779492961825,0.42813323987193935,3.5734769969499305e-07
0.24016,2812.2895005853206,0.6158482110660264,7.394333967903277e-07
0.24016,1359.1776294773383,0.8858667904100825,1.530132482442083e-06
0.24016,1359.177629477336,0.8858667904100832,1.5301324824419749e-06
0.24016,656.8994677130606,1.2742749857031335,3.1667537854641214e-06
0.24016,317.18198700369305,1.8329807108324356,6.607209172270445e-06
0.24016,153.25457296946837,2.636650898730358,1.3631201237462477e-05
0.24016,94.36438813333307,3.359818286283788,2.2085537748669673e-05
0.24016,74.04676591543542,3.79269019073225,2.8112858804096734e-05
0.24016,35.77848235559935,5.455594781168517,5.80217283666106e-05
0.24016,17.29124606050433,7.847599703514611,0.0001200636223357026
0.24016,8.354387110614372,11.288378916846883,0.0002476781283435539
0.24016,6.555912220819721,12.742749857031322,0.00031547558565912684
0.24016,4.037602189893317,16.23776739188721,0.0005125825254443374
0.24016,1.9511342719926448,23.357214690901213,0.0010593679783498914
0.24016,0.9431822734935738,33.59818286283781,0.0021983102201749956
0.24016,0.45584083432040373,48.32930238571752,0.004546566793962236
0.24016,0.45584083432040373,48.32930238571752,0.004546566793962236
0.24016,0.22026699653993434,69.51927961775606,0.00938325028858462
0.24016,0.10645958843702098,100.0,0.01941722494038118
0.24016,0.03168985196783603,183.29807108324374,0.06526948222960599
0.24016,0.0022032492105651482,695.192796177562,0.9383835046562069
0.24016,0.00015311129412793947,2636.6508987303664,13.493778370689062
0.24016,1.0645344689865601e-05,10000.0,194.39728806743344
0.24997,9.443692340425686e+16,1e-07,2.1865984929713847e-20
0.24997,6565186884381133.0,3.792690190732254e-07,3.145312357944395e-19
0.24997,456407062758117.75,1.438449888287663e-06,4.5243742099146296e-18
0.24997,31729090215400.4,5.455594781168514e-06,6.508085576822059e-17
0.24997,2205783494701.4585,2.06913808111479e-05,9.361554970952542e-16
0.24997,153344479544.41998,7.847599703514623e-05,1.3466127702171167e-14
0.24997,10660397751.325489,0.00029763514416313193,1.9370349889261932e-13
0.24997,741103172.1485138,0.0011288378916846883,2.7863277642402243e-12
0.24997,51520958.687737845,0.004281332398719396,4.007992877972259e-11
0.24997,3581699.970432249,0.01623776739188724,5.765297252685837e-10
0.24997,248997.23795101466,0.06158482110660267,8.293098195080764e-09
0.24997,94436.96156994754,0.1,2.1866036627858365e-08
0.24997,45640.74359314991,0.14384498882876628,4.524396033866661e-08
0.24997,22057.87118640262,0.20691380811147897,9.361646798971886e-08
0.24997,17310.141728343377,0.23357214690901212,1.1929343491776864e-07
0.24997,10660.432693912844,0.29763514416313175,1.9370735516007532e-07
0.24997,5152.129372045429,0.42813323987193935,4.0081551520192127e-07
0.24997,2490.0041182461905,0.6158482110660264,8.293781606681336e-07
0.24997,1203.4172669319826,0.8858667904100825,1.7162579745180646e-06
0.24997,1203.4172669319805,0.8858667904100832,1.7162579745179424e-06
0.24997,581.6193973071879,1.2742749857031335,3.5519580820635137e-06
0.24997,280.831406526291,1.8329807108324356,7.410910859901483e-06
0.24997,135.6911196425016,2.636650898730358,1.5289302132007376e-05
0.24997,83.55004743685963,3.359818286283788,2.477202511391609e-05
0.24997,65.560905706966,3.79269019073225,3.153251019939553e-05
0.24997,31.67826336007464,5.455594781168517,6.507949811351425e-05
0.24997,15.309660280053368,7.847599703514611,0.0001346681752382015
0.24997,7.396983912309923,11.288378916846883,0.00027780572451145425
0.24997,5.80461336590505,12.742749857031322,0.0003538500723735383
0.24997,3.57489635891802,16.23776739188721,0.0005749331231034438
0.24997,1.7275372087655119,23.357214690901213,0.0011882296217189806
0.24997,0.8350935610537167,33.59818286283781,0.00246571292952256
0.24997,0.4036014657828691,48.32930238571752,0.005099611704447345
0.24997,0.4036014657828691,48.32930238571752,0.005099611704447345
0.24997,0.19502474489896132,69.51927961775606,0.010524629938566012
0.24997,0.094259486380342,100.0,0.02177913842712088
0.24997,0.028058239449274946,183.29807108324374,0.07320886959437929
0.24997,0.0019507606150924416,695.192796177562,1.0525285826571447
0.24997,0.00013556499454764998,2636.6508987303664,15.13516313183101
0.24997,9.425397224684401e-06,10000.0,218.0437966638921
0.26004000000000005,8.384114536912906e+16,1e-07,2.4323162554840654e-20
0.26004000000000005,5828576028389404.0,3.792690190732254e-07,3.4987650459810254e-19
0.26004000000000005,405198406690953.94,1.438449888287663e-06,5.032798189535863e-18
0.26004000000000005,28169101335417.723,5.455594781168514e-06,7.239427993510855e-17
0.26004000000000005,1958295632317.8374,2.06913808111479e-05,1.0413554388539276e-15
0.26004000000000005,136139301637.36801,7.847599703514623e-05,1.497937614687813e-14
0.26004000000000005,9464306177.527655,0.00029763514416313193,2.154708194554781e-13
0.26004000000000005,657951747.5769804,0.0011288378916846883,3.0994397626509126e-12
0.26004000000000005,45740331.548103794,0.004281332398719396,4.458388798991944e-11
0.26004000000000005,3179834.931748323,0.01623776739188724,6.413169253743238e-10
0.26004000000000005,221059.86587791282,0.06158482110660267,9.225030389922842e-09
0.26004000000000005,83841.17923275687,0.1,2.4323220062534764e-08
0.26004000000000005,40519.873779714944,0.14384498882876628,5.0328224659420944e-08
0.26004000000000005,19582.988476953567,0.20691380811147897,1.0413656535680085e-07
0.26004000000000005,15367.952013321026,0.23357214690901212,1.3269896684540355e-07
